l_vel X,l_vel Y,l_vel Z,t
-0.25907525420188904,-0.5016803741455078,0.16314274072647095,186
-0.2300201952457428,-0.5132077932357788,0.11540079861879349,187
-0.19910813868045807,-0.5257735848426819,0.07447145134210587,188
-0.16434764862060547,-0.5391031503677368,0.05286820977926254,189
-0.1264054775238037,-0.5525387525558472,0.0441572368144989,190
-0.08234317600727081,-0.565216064453125,0.060500968247652054,191
-0.052574727684259415,-0.574441134929657,0.021082183346152306,192
-0.01782836765050888,-0.5846118330955505,0.0025061271153390408,193
0.013240893371403217,-0.5938888788223267,-0.024910300970077515,194
0.04883745312690735,-0.6024083495140076,-0.034323420375585556,195
0.08634458482265472,-0.610375702381134,-0.029754076153039932,196
0.11960459500551224,-0.6162234544754028,-0.037849415093660355,197
0.1494842767715454,-0.6214891672134399,-0.055635735392570496,198
0.1786128431558609,-0.6262310147285461,-0.06794378906488419,199
0.21106299757957458,-0.6302328109741211,-0.055471885949373245,200
0.24023880064487457,-0.6328592300415039,-0.04426078125834465,201
0.2664073705673218,-0.6349199414253235,-0.03259533271193504,202
0.29018887877464294,-0.63491290807724,-0.01640351675450802,203
0.3123405873775482,-0.6334622502326965,0.009305003099143505,204
0.32773977518081665,-0.630334734916687,0.019392000511288643,205
0.3396071493625641,-0.6261650919914246,0.030492128804326057,206
0.34415948390960693,-0.621574342250824,0.006526783108711243,207
0.34484657645225525,-0.6171842217445374,-0.03183426707983017,208
0.3443174660205841,-0.6119325160980225,-0.060372982174158096,209
0.3422693610191345,-0.6058709621429443,-0.07990013062953949,210
0.33924636244773865,-0.5969834327697754,-0.07426091283559799,211
0.3343447744846344,-0.5854622721672058,-0.05468118563294411,212
0.32552817463874817,-0.5730613470077515,-0.042391035705804825,213
0.3152661919593811,-0.5574312806129456,-0.027450241148471832,214
0.3021043539047241,-0.5452313423156738,-0.04913350194692612,215
0.286303848028183,-0.5294193029403687,-0.044019218534231186,216
0.2674333453178406,-0.5112042427062988,-0.033429283648729324,217
0.24677419662475586,-0.4937557280063629,-0.04470139369368553,218
0.22546669840812683,-0.4792594909667969,-0.08150286972522736,219
0.20159010589122772,-0.4590928852558136,-0.06891182065010071,220
0.17512007057666779,-0.44063085317611694,-0.07655065506696701,221
0.14902666211128235,-0.41814640164375305,-0.05642800033092499,222
0.12146870046854019,-0.39531275629997253,-0.04769390448927879,223
0.09429749846458435,-0.3719053268432617,-0.03262878581881523,224
0.06537393480539322,-0.3472967743873596,-0.013826072216033936,225
0.037942543625831604,-0.3209505081176758,0.009251694194972515,226
0.011507623828947544,-0.29659685492515564,0.017262475565075874,227
-0.014504591003060341,-0.27050846815109253,0.034020472317934036,228
-0.03869004175066948,-0.2458069771528244,0.03664000332355499,229
-0.06294473260641098,-0.22110065817832947,0.041394058614969254,230
-0.08665747940540314,-0.195688396692276,0.05876190960407257,231
-0.10852599143981934,-0.17362414300441742,0.050202928483486176,232
-0.13018667697906494,-0.15058855712413788,0.05875874683260918,233
-0.15148943662643433,-0.12930485606193542,0.06007717549800873,234
-0.1703152060508728,-0.11119930446147919,0.04252360016107559,235
